GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ResourceBookingSystem,com.example.booking.service.impl,AuthServiceImpl,48,127,3,3,12,37,5,3,2,3
ResourceBookingSystem,com.example.booking.service.impl,ResourceServiceImpl,117,180,5,5,13,49,10,7,5,7
ResourceBookingSystem,com.example.booking.service.impl,ReservationServiceImpl,180,225,21,9,29,56,21,6,7,5
ResourceBookingSystem,com.example.booking.dto.response,PagedResponse,0,27,0,0,0,10,0,1,0,1
ResourceBookingSystem,com.example.booking.dto.response,ApiResponse,11,34,0,2,6,15,1,5,1,4
ResourceBookingSystem,com.example.booking.util,DataInitializer,57,365,2,2,16,114,5,12,3,12
ResourceBookingSystem,com.example.booking.entity,ReservationStatus,0,21,0,0,0,4,0,1,0,1
ResourceBookingSystem,com.example.booking.entity,Role,0,15,0,0,0,3,0,1,0,1
ResourceBookingSystem,com.example.booking.entity,BaseEntity,0,14,0,0,0,6,0,3,0,3
ResourceBookingSystem,com.example.booking.config,SecurityConfig,0,332,0,0,0,39,0,9,0,9
ResourceBookingSystem,com.example.booking.config,OpenApiConfig,0,58,0,0,0,20,0,2,0,2
ResourceBookingSystem,com.example.booking.dto.request,LoginRequest,3,10,2,2,1,2,2,1,0,1
ResourceBookingSystem,com.example.booking.repository,ReservationSpecification,32,73,3,11,4,14,4,6,1,2
ResourceBookingSystem,com.example.booking.controller,AuthController,11,21,0,0,2,4,1,2,1,2
ResourceBookingSystem,com.example.booking.controller,ResourceController,28,63,1,1,4,10,3,4,2,4
ResourceBookingSystem,com.example.booking.controller,ReservationController,54,82,8,4,6,11,7,4,2,3
ResourceBookingSystem,com.example.booking,ResourceBookingSystemApplication,5,3,0,0,2,1,1,1,1,1
ResourceBookingSystem,com.example.booking.security,UserDetailsServiceImpl,24,13,0,0,3,3,3,1,3,1
ResourceBookingSystem,com.example.booking.security,UserDetailsImpl,32,48,6,0,5,18,5,8,2,8
ResourceBookingSystem,com.example.booking.security,JwtAuthenticationFilter,6,67,2,6,2,16,2,5,0,3
ResourceBookingSystem,com.example.booking.security,JwtAccessDeniedHandler,0,44,0,0,0,15,0,2,0,2
ResourceBookingSystem,com.example.booking.security,JwtAuthenticationEntryPoint,31,15,0,0,11,4,1,1,1,1
ResourceBookingSystem,com.example.booking.security,JwtTokenProvider,28,127,1,1,9,43,1,9,0,9
ResourceBookingSystem,com.example.booking.exception,BadRequestException,4,0,0,0,2,0,1,0,1,0
ResourceBookingSystem,com.example.booking.exception,ResourceNotFoundException,23,0,0,0,4,0,2,0,2,0
ResourceBookingSystem,com.example.booking.exception,AccessDeniedCustomException,4,0,0,0,2,0,1,0,1,0
ResourceBookingSystem,com.example.booking.exception,UnauthorizedException,4,0,0,0,2,0,1,0,1,0
ResourceBookingSystem,com.example.booking.exception,GlobalExceptionHandler,199,30,9,1,55,9,11,2,6,2
